id_log,symbol,date_log,time_log,price,price_ave,increased,volume,google_trend,twitter_sent
108,LTC,07-05-2018,09:51:25,160.807965,163.184381568571,0,2020908,62,0.118156422176309
109,BTC,07-05-2018,10:00:29,9300.1,9348.00428325429,1,14587925,83,0.104784400123686
110,DASH,07-05-2018,10:00:34,466.77869621,465.048033614286,0,497137,44,0.136428167139374
111,LTC,07-05-2018,10:00:38,160.80000003,162.85267636,0,1989317,50,0.107378866792929
112,BTC,07-05-2018,10:09:43,9300.6,9332.00428326,1,14464300,88,0.0617812049062049
113,DASH,07-05-2018,10:09:48,463.0,465.444990215714,0,496768,52,0.102933436991981
114,LTC,07-05-2018,10:09:54,160.8,162.325242788571,0,1959309,52,0.143996801346801
115,BTC,07-05-2018,10:18:59,9281.24574715,9320.58999754572,0,14615461,82,0.104773280696576
116,DASH,07-05-2018,10:19:05,463.00000001,465.841946817143,1,497275,51,0.104636213673278
117,LTC,07-05-2018,10:19:10,160.81,161.753380851429,1,1949024,42,0.11309602878096
118,BTC,07-05-2018,10:28:15,9309.99999999,9312.24714040286,1,14832478,86,0.143596890835263
119,DASH,07-05-2018,10:28:21,462.14131549,466.056773847143,0,499213,48,0.0904048926767677
120,LTC,07-05-2018,10:28:26,161.48229929,161.459437984286,1,1945404,64,0.110567063035417
121,BTC,07-05-2018,10:37:32,9310.99999981,9304.34741756714,1,14842793,86,0.14520212342878
122,DASH,07-05-2018,10:37:37,461.148,465.608014547143,0,498833,45,0.0671117424242424
123,LTC,07-05-2018,10:37:50,161.48650172,161.257632748571,1,1928525,60,0.128927423586514
124,BTC,07-05-2018,10:46:56,9301.0,9297.56367813857,0,14806992,83,0.186578531097492
125,DASH,07-05-2018,10:47:08,461.148,465.03658603,0,498846,46,0.12693951806855
126,LTC,07-05-2018,10:47:13,161.06690123,161.104532647143,0,1932250,58,0.112455202712052
127,BTC,07-05-2018,10:56:19,9315.13765306,9300.84939235286,1,14914266,86,0.0940564045628701
128,DASH,07-05-2018,10:56:25,461.148,464.23220059,0,498825,44,0.160062620953068
129,LTC,07-05-2018,10:56:29,162.25,161.137832797143,1,1913765,55,0.0940580541328781
130,BTC,07-05-2018,11:05:35,9288.0,9297.70653528429,0,14966783,86,0.104556881127003
131,DASH,07-05-2018,11:05:40,455.28400001,463.427815417143,0,494843,55,0.11529172539347
132,LTC,07-05-2018,11:05:45,161.0,161.036238181429,0,1912810,65,0.119141624579125
133,BTC,07-05-2018,11:14:50,9340.00001,9302.72620000143,1,14958892,82,0.102960069444444
134,DASH,07-05-2018,11:14:55,459.649849,462.623430244286,1,501981,48,0.104380570962602
135,LTC,07-05-2018,11:15:01,162.97153313,161.242243181429,1,1865628,62,0.133743047024297
136,BTC,07-05-2018,11:24:07,9340.32449999,9300.99762857286,1,14949599,85,0.134587904654869
137,DASH,07-05-2018,11:24:12,457.2745241,460.981330787143,0,502068,47,0.144650176803235
138,LTC,07-05-2018,11:24:17,162.9991,161.270814605714,1,1857683,63,0.157262020543271
139,BTC,07-05-2018,11:33:22,9333.87897374,9306.62620143,0,14967101,82,0.0742714464062779
140,DASH,07-05-2018,11:33:28,460.07610857,460.502737787143,1,503555,52,0.162331871884429
141,LTC,07-05-2018,11:33:32,162.501468,161.581033624286,0,1875017,57,0.155672647078897
142,BTC,07-05-2018,11:42:38,9312.07390838,9315.06602326429,0,15035114,79,0.128958753870973
143,DASH,07-05-2018,11:42:44,455.00158234,459.684812657143,0,503710,52,0.097915907192223
144,LTC,07-05-2018,11:42:57,162.501468,161.893762195714,0,1875754,61,0.123727693602694
145,BTC,07-05-2018,11:52:02,9330.68135369,9318.47730522857,1,15057508,80,0.122429957682767
146,DASH,07-05-2018,11:52:08,457.39658937,459.389783097143,1,504227,50,0.167201488095238
147,LTC,07-05-2018,11:52:12,161.50526688,162.039357725714,0,1878778,47,0.139400572756551
148,BTC,07-05-2018,12:01:17,9360.97536403,9318.63072073857,1,15106414,79,0.0365712146380751
149,DASH,07-05-2018,12:01:22,457.39658937,458.511723431429,0,508666,49,0.0999037701231061
150,LTC,07-05-2018,12:01:26,162.661,162.184352908571,1,1879893,79,0.126957898548384
151,BTC,07-05-2018,12:10:32,9367.0,9322.87091412286,1,15123669,82,0.0509060640653106
152,DASH,07-05-2018,12:10:37,458.14131549,457.975807627143,1,508792,58,0.0577571248196248
153,LTC,07-05-2018,12:10:42,162.99999994,162.246976572857,1,1882334,51,0.101307467259172
154,BTC,07-05-2018,12:19:48,9355.0,9329.41915854714,0,15173726,84,0.0946987734487734
155,DASH,07-05-2018,12:19:53,458.14131548,457.439891822857,0,513368,54,0.119683034586941
156,LTC,07-05-2018,12:19:58,163.15060501,162.305690858571,1,1884626,68,0.0811645438930887
157,BTC,07-05-2018,12:29:04,9338.0,9340.70487283286,0,15199161,86,0.0983508491780551
158,DASH,07-05-2018,12:29:10,458.14131548,457.848079748571,0,513924,48,0.160276993145743
159,LTC,07-05-2018,12:29:15,162.1053,162.591405135714,0,1890229,66,0.10841504459711
160,BTC,07-05-2018,12:38:21,9327.0,9342.84772854714,0,15372799,82,0.132920340161194
161,DASH,07-05-2018,12:38:26,458.0,457.63257496,0,521095,52,0.112071099495342
162,LTC,07-05-2018,12:38:31,161.93160001,162.616986832857,0,1908472,51,0.104231827200577
163,BTC,07-05-2018,12:47:36,9349.9560566,9342.51565712,1,15664303,86,0.13449912660439
164,DASH,07-05-2018,12:47:42,460.25780425,457.7564023,1,521612,57,0.170726625197719
165,LTC,07-05-2018,12:47:47,161.5,162.489301118571,0,1910977,57,0.112617421701929
166,BTC,07-05-2018,12:56:52,9338.00300075,9341.53294658572,0,15539646,80,0.146283977194303
167,DASH,07-05-2018,12:56:57,460.25780425,457.459815361429,0,339877,58,0.171900641459235
168,LTC,07-05-2018,12:57:01,162.07349998,162.407891405714,1,1819279,54,0.0940980478832592
169,BTC,07-05-2018,13:06:07,9331.24,9346.94468204571,0,15383316,82,0.14417941591237
170,DASH,07-05-2018,13:06:12,460.25722971,458.210704205714,0,341650,55,0.0888727767239003
171,LTC,07-05-2018,13:06:17,161.14443252,162.264824548571,0,1811317,58,0.107894144144144
172,BTC,07-05-2018,13:15:23,9300.0,9347.99063162571,0,15389434,81,0.105166291340534
173,DASH,07-05-2018,13:15:29,460.25722971,458.619449188571,0,340057,65,0.139263275613276
174,LTC,07-05-2018,13:15:34,161.25693313,162.346000705714,1,1807503,57,0.122538888888889
175,BTC,07-05-2018,13:24:40,9310.579693,9343.74272247857,1,15258625,84,0.107634224013534
176,DASH,07-05-2018,13:24:45,452.20000007,459.028112094286,0,332793,61,0.138599031439941
177,LTC,07-05-2018,13:24:50,160.9957,162.129348208571,0,1783103,65,0.115196876169098
178,BTC,07-05-2018,13:33:56,9309.30649229,9334.17129390714,0,15319081,86,0.061813933982684
179,DASH,07-05-2018,13:34:02,454.503465,459.330385554286,1,347305,60,0.11681443452381
180,LTC,07-05-2018,13:34:07,160.8491,161.880338664286,0,1799214,61,0.136463464696223
181,BTC,07-05-2018,13:43:14,9297.74417247,9327.82553576429,0,15314330,84,0.118959475709476
182,DASH,07-05-2018,13:43:19,451.0,458.48162621,0,345838,63,0.135912932900433
183,LTC,07-05-2018,13:43:24,160.98573314,161.572495091429,1,1797088,64,0.137179979518689
184,BTC,07-05-2018,13:52:30,9259.04269944,9323.72646323429,0,15282564,86,0.101245749298075
185,DASH,07-05-2018,13:52:34,450.0,457.961933284286,0,346675,60,0.166028597725026
